idx,text,files,url,title,published_date,deadline_date,tag
요즘것들_공모전_239,"우리 반 편집했S 영상 콘테스트
 너희 친구, 반, 학교를 자유롭게 자랑해봐! 정답 없고 즐거우면 OK
 ● 참가 자격
 - 초.중.고등학생 청소년 누구나 참여 가능
 (개인, 팀, 반, 학급 모두 가능)
 
 ● 공모 주제(중복 참여 가능)
 - 주제1) 너희 반이나 학교에 대해서 자유롭게 자랑해봐!
 - 주제2) 너희 친구에 대해서 자유롭게 자랑해봐!

 ● 공모 일정
 - 콘테스트 참여 : 10/28~11/28
 - 후보 투표 : 12/4~12/11
 - 수상작 발표 : 12/19

 ● 시상 내역
 주제1) 너희 반이나 학교에 대해서 자유롭게 자랑해봐!
 - 재밌었S 부문 : 부문 별 상금 50만원 / 땅땅 치킨 쿠폰(최대 50개) / 상장 수료
 - 감동했S 부문 : 부문 별 상금 50만원 / 땅땅 치킨 쿠폰(최대 50개) / 상장 수료
 - 참신했S 부문 : 부문 별 상금 50만원 / 땅땅 치킨 쿠폰(최대 50개) / 상장 수료

 주제2) 너희 친구에 대해서 자유롭게 자랑해봐!
 - 재밌었S 부문 : 부문 별 상금 20만원 / 땅땅 치킨 쿠폰(최대 20개) / 상장 수료
 - 감동했S 부문 : 부문 별 상금 20만원 / 땅땅 치킨 쿠폰(최대 20개) / 상장 수료
 - 참신했S 부문 : 부문 별 상금 20만원 / 땅땅 치킨 쿠폰(최대 20개) / 상장 수료

 ● 제출 형식
 1) 곰랩 제품을 사용한 영상
 2) 저작권에 문제 없고, 2차 활용 가능한 영상
 3) 영상 스펙 : 30초 ~ 2분 이내 | 세로형, 가로형 자율 구성
 4) FHD 이상의 화질

 ● 이벤트 페이지
 - www.gomlab.com/event/page/ORG060-493

 ● 접수 방법
 1) 곰랩 제품을 사용하여 편집
 2) SNS 업로드 : 제작한 영상을 본인 SNS 채널에 업로드(업로드 채널 : 유튜브, 숏츠, 릴스, 틱톡)
 3) 필수 해시태그 : #우리반편집했S #곰이지패스 #땅땅치킨
 4) 메일 응모 : 곰랩 메일주소(gomlabevent@gomcorp.com)로 응모
 ※ 응모 시 제출 사항 : 응모 영상 파일, 영상 포스팅 한 SNS 링크, 곰랩 아이디, 제출자 이름(팀일 경우 팀명), 대표자 핸드폰 번호

 ● 심사 기준
 - 참여자 검수 후 부문 별 후보 작품 선정
 - 주관사, 후원사 직원 투표(비중 50%)
 - 고객 투표 : 곰랩 사이트에 게시한 후보 작품 투표(비중 50%)

 ● 유의 사항
 - 이용권 요청은 gomlabevent@gomcorp.com 로 요청해주시기 바랍니다. 요청 시 언급 사항 : 학교, 필요 제품, 필요 이용권 수량
 - 제공 프로그램 : 곰믹스 2024, 곰캠 2024, 곰플레이어+ 2024, 곰픽 2024
 - 상금에 따른 제세공과금은 수상자 본인이 부담하며, 세금 공제 후 지급됩니다.
 - SNS 링크 비공개 계정은 수상에서 제외됩니다.
 - 시상 일정 및 경품 지급 관련 안내는 수상자에게 메일로 개별 공지됩니다.
 - 타 공모전 및 수상작, 타인의 저작물 도용 시 심사 제외 및 시상 내역(시상금 포함)은 환수됩니다.
 - 응모작에 사용되는 자료와 관련하여 저작권, 초상권 등의 문제 발생시 모든 책임은 응모자에 있습니다.
 - 응모 작품은 곰랩의 홍보 콘텐츠로 2차 활용, 편집 될 수 있습니다.
 - 이벤트 기간 및 시상 내역은 당사의 내부 사정에 따라 변동될 수 있습니다.
 - 보내주신 개인 정보는 공모전 시상 이후 모두 폐기 됩니다.
 - 문의사항은 GOM Lab 고객센터로 문의하여 주시기 바랍니다.

 ● 문의 사항
 - 문의사항 : gomlabevent@gomcorp.com 로 메일 주시기 바랍니다.

",,https://www.allforyoung.com/posts/56390,곰랩x땅땅치킨 | 우리 반 편집했S 영상 콘테스트,2024-10-28,2024-11-28,"['영상콘테스트', '기획', '참가자격', 'UCC', '심사기준']"
요즘것들_공모전_238,"제 1회 달리 그림책 & 동화책 공모전
 기발한 상상력과 풍부한 감성을 담은 어린이책을 만들어온 달리출판사에서 제 1회 그림책 & 동화책 공모전을 엽니다. 창작자 여러분의 많은 관심과 응모 바랍니다.
 ■ 공모 내용
 - 미발표 창작 그림책, 동화책
 ■ 지원 자격
 - 신인 및 기성 작가 
 ※ 글, 그림 2인 이상 공동 창작 가능합니다.
 ■ 모집 기간
 - 2024년 9월 5일 ~ 12월 31일
 ■ 지원 방법
 - 구글폼 응모지원서 작성 후 작품을 이메일 첨부 파일로 제출
 - 작품 파일명
 [2024_응모 분야]작품 제목_이름 ex)[2024_그림책]달리의 봄_김꽃님
 ※ 그림책: 더미북 형식의 PDF 파일 (페이지수와 판형은 자유, 20MB 이하의 저해상 파일로)
 ※ 동화: 워드(word) 파일, 200자 원고지 80~200매 분량
 ■ 접수 방법
 - @dahli_books 인스타 프로필 링크의 공모전 구글폼 접수
 ■ 공모전 시상내역
 - 대상-상패와 부상 1,000만원(선인세)(분야별 각 1명)
 - 우수상-상패와 부상 500만원(선인세)(분야별 각 1명)
 ■ 문의 사항
 - 인스타DM 혹은 이메일로 부탁 드립니다.
 ■ 유의 사항
 - 응모작은 국내외 타 공모전에서 수상하거나 발표된 적이 없는 순수 창작물이어야 합니다.
 - 수상 이후라도 표절 등 결격 사유가 확인되면 수상을 취소하고 상금을 환수합니다.
 - 응모작 제출 이후 수정은 불가능합니다.
 - 수상작은 달리출판사가 위촉한 심사위원의 심사를 통해 선정됩니다.
 - 수상자에게는 개별 통지하고, 달리출판사 인스타그램에 게재합니다.
 - 수상작은 달리출판사에서 단행본으로 출간됩니다.
 - 수상작의 저작권은 저자에게 있고, 출판권 및 배타적 발행권은 5년간 달리출판사에 있습니다.
 - 책 출간에 따른 인세가 상금을 넘어서는 시점부터 추가 인세를 지급합니다.
 - 공모전이 종료됨과 동시에 모든 원고는 파기합니다.

",,https://www.allforyoung.com/posts/55577,제 1회 달리 그림책 & 동화책 공모전,2024-10-04,2024-12-31,"['공모전', '수필', '문학', '지원방법', '달리출판사']"
요즘것들_공모전_237,"디지털배움터는 누구나 디지털 세상에서 혜택을 누릴 수 있도록 추진하고 있는 디지털 역량 교육 사업입니다. 디지털배움터 교육을 수강하고 긍정적인 경험과 사례를 콘텐츠로 제작하는 공모전을 개최합니다. 디지털배움터를 수강한 교육생이라면 누구나 참여 가능합니다. 많은 관심 부탁드립니다.

✔️ 참가 대상
디지털배움터 대면, 온라인 교육을 받은 국민은 누구나 참석 가능

✔️ 공모 기간
2024년 10월 14일 월요일 ~ 11월 11일 월요일 (마감일 자정까지 작품과 양식을 작성하여 제출)

✔️ 시상 내역
당선작 발표: 2024년 11월 15일 (디지털배움터 홈페이지 공지, 수상자 개별 통지)

✔️ 제출 형식
이메일 제출 (digital@kmac.co.kr) 
1) 작품 
2) 디지털배움터 교육 수료증 필수 제출 (발급 방법: 디지털배움터 홈페이지 접속 - 마이페이지 - 수료증 발급)

✔️ 참가 신청
하단 구글 폼 접속 및 작성: https://forms.gle/TcrMmEQkp3ocJfMm8

✔️ 공모 부문 및 주제
디지털배움터 교육 수강 후, 소개하고 싶은 경험과 사례들을 콘텐츠로 제작 
1) AI 영상: 디지털배움터에서 겪었던 경험, 사례를 통해 배움터를 홍보하는 숏폼 형식의 영상 FHD (세로형), 1분 이내, AI 툴 활용 필수! 
2) 에세이: 디지털배움터 교육을 수강하고 기억에 남은 경험. 누구나 디지털 혜택을 편리하게 누릴 수 있는 사례와 예시. 한글파일, 3페이지 내외 (공백 제외 4000자 이하), 글자크기 (12pt), 자간 (160)

✔️ 유의 사항
1) 작품, 수료증, 구글폼을 모두 작성 및 제출해야 공모전 응모 확정됨 
2) 응모작품은 본인이 직접 제작한 작품이어야 함 

✔️ 문의처
digital@kmac.co.kr 카카오톡채널 [디지털배움터 AI영상&에세이 공모전] 검색 후 채널 추가

",,https://www.allforyoung.com/posts/55588,디지털배움터 AI영상&에세이 공모전,2024-10-14,2024-11-11,"['참가대상', '디지털배움터', '공모전', '연락처', 'UCC']"
요즘것들_공모전_236,"578돌 한글날 기념 부산말글 사랑 백일장
중·고등학생 대상 공모전

안녕하십니까. 동아대학교 국어문화원에서는 다가오는 578돌 한글날을 맞이하여 부산말글 사랑 백일장을 개최합니다. 부산 시민 여러분의 많은 관심 바랍니다.

1. 접수 기간: 2024. 10. 28.(월)~2024. 11. 30.(토)
   당선작 발표: 2024. 12. 6.(금)

2. 접수 대상: 부산의 말과 글을 사랑하는 중·고등학생

3. 주제 및 접수 부문: 아름다운 ‘부산의 말과 글’을 주제로 운문(시), 산문(2,000자~2,400자)을 써서 보내 주세요.

4. 접수 방법
   ① 동아대 국어문화원 누리집에서 신청서 받기
   ② 메일을 통해 신청서, 작품 접수하기 (daukor7180@naver.com)
   * 첨부된 원고지를 다운 받은 후 인쇄해서 글을 작성하시기 바랍니다. (제시된 원고지 양식이 아닌 다른 양식으로 글을 쓰실 경우 선발에 불이익이 있을 수 있습니다.)

5. 시상 내역: 동아대학교 국어문화원장상 및 상금, 상품 수여
   - 운문/산문 별도 시상, 총 6인
   - 으뜸상: 부문별 1명, 40만 원
   - 버금상: 부문별 1명, 20만 원
   - 보람상: 부문별 1명, 15만 원

6. 유의 사항
   - 반드시 첨부된 원고지 양식에 글을 써서 제출하시기 바랍니다.
   - 개인별로 한 작품만 응모 가능합니다.
   - 상금은 제세공과금을 포함한 금액입니다.
   - 입상한 작품의 사용권은 동아대학교 국어문화원에 귀속됩니다.
   - 제출한 작품의 저작권에 관련된 사항은 응모자의 책임입니다.
   - 타인의 저작물이거나 명의가 도용된 것으로 확인될 경우, 심사 대상에서 제외됩니다. (수상 후에도 수상 취소 및 수상 내역을 환수 조치)

7. 문의처
   - 전화: 051-200-7180
   - 전자우편: daukor7180@naver.com
   - 누리집: korea.donga.ac.kr

",,https://www.allforyoung.com/posts/56610,578돌 한글날 기념 부산말글 사랑 백일장(중·고등부),2024-10-28,2024-11-30,"['한글날', '공모전', '수필', '문학', '중고등학생']"
요즘것들_공모전_235,"아니마토에서 2025년 신년 음악회를 기념하여 신년 음악회의 ‘부제’ 공모전을 개최합니다. 2024년 2030을 위한 '힐링 콘서트' 시리즈에 이어, 2025년 음악을 듣는 모두가 음악을 통해 살아있음을 느끼고 체험 할 수 있도록, 더욱 다양한 레퍼토리와 함께 관객들을 찾아갑니다. 
  ○ 공모주제
    - 2025년 신년 음악회 ‘부제’ 공모전
    *네이밍: 신년 음악회의 의미가 담겨있는 '부제' 창작
    *키워드 : 20대, 30대, 새로움, 희망, 행운, 시작, 도전
    
  ○ 기간 및 일정
    - 응모일정: 2024.10.28 ~ 2024.11.22 23:59 까지
  
  ○ 지원자격
    - 만 19세 ~ 34세의 청년
    
  ○ 접수방법
    - 응모신청서를 구글폼으로 제출
    *2024-11-22 23:59 도착분까지 유효
    
  ○ 심사기준 
    - 창의성(50%), 공감성(30%), 실용성(20%)
  
  ○ 시상내역(총 230만원)
    - 1등(1명) : 상금 100만원, 하우스 콘서트 기획 참여, 인턴쉽 기회 제공
    - 2등(1명) : 상금 50만원, 하우스 콘서트 티켓 제공
    - 3등(1명) : 상금 30만원, 하우스 콘서트 티켓 제공
    - 참가상(10명) : 백화점 상품권 5만원 
    
  ○ 유의사항
    - 서류 합격자에 한해 개별통보, 서류 합격후 개별 발표 있음
    - 응모신청서에 인적사항, 응모작품 내용 등 빈 항목이 없도록 작성하여 제출
    - 접수 및 심사 일정은 내부 사정에 따라 변경될 수 있음
    - 저작권 문제 발생 시, 모든 법적 책임은 응모자에게 있으며 수상이 취소될 수 있음
    - 공고 및 내용은 주최측의 사정으로 사전 공지 없이 변경될 수 있음
  
  ○ 문의
    - 이메일 : toapplyanimato@gmail.com
    - 홈페이지 : https://animatoart.creatorlink.net/

",,https://www.allforyoung.com/posts/56642,아니마토 2025 신년 음악회 ' 부제' 공모전,2024-10-28,2024-11-22,"['공모전', '이벤트', '네이밍', '슬로건', '시상내역']"
요즘것들_공모전_234,"안녕하세요, 청년재단입니다.
청년재단은 우리 청년들이 고립되지 않고 다정함의 동심원을 만들어나가는 사회를 꿈꾸며 「내 사진첩 속 다정함 자랑대회」를 열게 되었습니다. 여러분은 사진첩 속에 어떤 다정한 장면들을 간직하고 계시나요? 마음껏 자랑해 주세요! :)

▶ 공모주제: 외로움, 고립감으로 지친 일상 속에서 “다정함”을 느낀 순간
▶ 참가대상: 외로움, 고립감을 경험한 만 19~30세 대한민국 국민 누구나
▶ 공모양식: 고화질 사진(JPG, JPEG/해상도 긴 면 3,000픽셀 이상, 2MB 이상)
▶ 공모일정: (모집) 2024. 11. 4.(월) ~ 11. 17.(일) / (발표) 2024. 11. 26.(화)
* 상기 일정은 기관 사정에 의해 변경될 수 있음
▶ 시상내역: 총 300만 원 / 105점
구분: 다정 용광로 상, 작품 수: 5, 상금: 각 200,000원
구분: 다정 핫팩 상, 작품 수: 30, 상금: 각 30,000원
구분: 다정 핫초코 상, 작품 수: 50, 상금: 각 20,000원
구분: 네잎클로버 상(추첨), 작품 수: 20, 상금: 각 5,000원

▶ 다정함 사진 자랑하러 가기: bit.ly/kyf_kindness

",,https://www.allforyoung.com/posts/57003,청년재단 '내 사진첩 속 다정함 자랑대회' 사진 공모전,2024-11-04,2024-11-17,"['참가대상', '공모전', 'UCC', '시상내역', '사진']"
요즘것들_공모전_233,"『2024년 제4회 양봉요리 경연대회』
  국산 양봉산물(벌꿀, 화분 등)을 활용해 다양한 요리를 개발하고, 양봉 시장의 확대 및 소비 촉진을 위해 올해에도 양봉요리 경연대회를 개최합니다.
  관심 있는 분들의 많은 참여를 부탁드립니다!
  1. 대회개요
  - 대회명 : 제4회 양봉요리 경연대회
  - 대회주제 : 국산 양봉산물(벌꿀, 화분 등)을 활용한 요리 경연대회
  - 주최·주관 : 농촌진흥청 국립농업과학원
  - 참여대상: 대한민국 국적 및 거주 외국인 누구나, 팀별 2인 이하
  - 경연분야 : 국산 양봉산물을 이용한 주식 및 후식 요리 (요리 경연 및 차림 1시간 내외, 주식/후식 中 선택1)
  
  2. 신청 방법
  - 접수 기간 : 2024. 10. 25(금) ~ 11. 25(월) 23:59까지
  - 신청 방법 : 홈페이지(http://www.bee-cooking.kr/)에서 신청서 다운로드 후 메일 접수
  접수 이메일 ▶ beecook.kr@gmail.com
  - 제출 서류 : 참가신청서 ※ 양식 외 신청서 제출 시 접수 불가
  - 서류심사 발표 : 2024. 12. 6(금) 예정 (*홈페이지 발표 및 본선 참가자 한하여 개별 안내 예정)
  
  - 시상안내
  대상(1팀) : 농림축산식품부장관상, 100만원 백화점상품권, 양봉산물제품
  최우수상(3팀) : 농촌진흥청장상, 양봉산물제품
  우수상(3팀) : 국립농업과학원장상, 양봉산물제품
  특별상(3팀) : 한국양봉협회장상, 한국양봉농협조합장상, 한국양봉학회장상, 양봉산물제품
  
  3. 본선
  - 일시 : 2024.12.21.(토) 12:00~17:00
  - 장소 : 대전보건대학교 8동 7층 * 대전시 동구 충정로 21
  - 후원 : 농림축산식품부, 사단법인 한국양봉협회, NH한국양봉농협, 한국양봉학회
  - 참가자격 : 1차 서면 공모 심사를 통과한 본선 참가자
  
  ※ 참가문의 ☏ 양봉요리 경연대회 운영사무국 063-253-7117
  제4회 양봉요리 경연대회 홈페이지 ▶ http://www.bee-cooking.kr/
  제4회 양봉요리 경연대회 신청서 접수 이메일 ▶ beecook.kr@gmail.com

",,https://www.allforyoung.com/posts/56635,2024년 제4회 양봉요리 경연대회,2024-10-25,2024-11-25,"['대회개요', '기획', '참가자격', '양봉요리 경연대회', '신청 방법']"
요즘것들_공모전_232,"공모 주제: 2024년 직무능력은행 활용 사례 공모: 직무능력은행을 어떻게 활용하고 있는지, 여러분의 사례를 들려주세요!
  직무능력은행이란?: 개인이 생애에 걸쳐 습득한 다양한 직무능력을 저축.통합 관리하여 취업.인사배치 등에 편리하게 활용할 수 있는 개인별 직무능력 정보관리 시스템입니다.
  상세내용: 직무능력은행을 어떻게 활용하고 있는지, 여러분의 사례를 들려주세요!
  공모 내용: 직무능력은행 활용 사례 공모
  참가 대상: 직무능력은행을 활용해본 개인 및 단체 등
    개인: 직무능력은행을 자기개발 및 취업 등에 활용 경험이 있는 개인
    단체: 직무능력은행을 교육, 인사관리, 채용 등에 활용 경험이 있는 기업
  모집 기간: 2024.11.6.(수) ~ 2024.11.27.(수), 3주간
  참가방법: 온라인 설문 폼을 통한 내용 작성 / 제출
    모바일: QR-Code 스캔을 통한 페이지 접속
    PC: 접속 링크는 직무능력은행 홈페이지에서 확인 (https://bank.ncs.go.kr)
  시상내역:
    최우수: 개인 부분: 30만원 상품권 (1건), 단체 부분: 50만원 상품권 (1건)
    우수: 개인 부분: 10만원 상품권 (3건), 단체 부분: 30만원 상품권 (2건)
    장려: 개인 부분: 5만원 상품권 (5건), 단체 부분: 10만원 상품권 (3건)
  ※ 포상규모는 접수결과에 따라 달라질 수 있음.
  결과발표: 24년 12월 중 직무능력은행 홈페이지 [공지사항] 게시, 입상자 개별 통지
  문의사항: NCS기획부 [052-714-8707]

",,https://www.allforyoung.com/posts/56789,2024년 직무능력은행 활용 사례 공모전,2024-11-06,2024-11-27,"['기획', '공모전', '문의사항', '직무능력은행', '시상내역']"
요즘것들_공모전_231,"▶ 공모기간  
10. 31(목) ~ 11. 27(수) 14:00까지  

▶ 공모주제  
기업 또는 개인의 ESG경영 도입·실천을 통한 현상 개선 및 경영혁신 사례,  
공사 해양산업 ESG경영 지원을 위한 제안 및 건의사항  
E(환경)_탄소중립, 오염저감, 친환경 경영 실천사례 등  
S(사회)_ 협력사와의 상생협력, 유관 산업 연계 사회공헌 등  
G(지배구조)_ 고객중심경영, 지배구조 개편, 청렴한 직무수행 강화 등  
제안_공사 및 해운항만물류 기업의 ESG경영을 강화할 수 있는 제안  
※ E(환경), S(사회), G(지배구조), 제안 중 택 1 또는 복합적 사례 선택 가능  

▶ 공모대상  
해양산업 ESG에 관심있는 대학(원)생, 해운·물류·금융 등 유관기업 및 종사자  
(개인 및 팀구성 가능)  

▶ 접수방법  
한국해양진흥공사 홈페이지 (www.kobc.or.kr)  
국민참여 > 국민참여 바다 서류양식을 다운로드 후 작성하여 이메일 제출  
접수처 : marketing@gimail.co.kr  
접수 마감일 : 11. 27(수) 14:00까지 제출된 경우에 한해 유효 일정  

▶ 제출서류  
참가신청서, 우수사례 공모 제안서 또는 아이디어 기획서  

▶ 시상내역  
- ESG경영대상ㅣ 해양수산부 장관상, 상금 300만원 (1팀)  
- 우수제안대상ㅣ공사 사장상, 상금 100만원 (2팀)  
- 아이디어대상ㅣ공사 사장상, 상금 100만원 (2팀)  

▶ 진행일정  
- 1차 결과 ㅣ 24. 12. 04.(수) - 5팀 선정  
- 현장 PT 및 시상 ㅣ 24. 12. 09.(월)  
  ※ 현장PT 후 순위 발표  

▶ 문의처  
운영사무국 051-715-4888

",,https://www.allforyoung.com/posts/56705,2024 해양산업 ESG경영대상,2024-10-31,2024-11-27,"['접수방법', '기획', '공모전', '문의처', '시상내역']"
요즘것들_공모전_230,"KTV 방송 프로그램 아이디어 공모전
정해진 틀은 없다! '아이디어'로 놀래켜라!

■ 공모 주제
2025년 국민 참여형 KTV 대표 프로그램 개발 및 온라인 킬러콘텐츠 제작을 위한 아이디어 공모

■ 공모 분야
<TV 프로그램>
- KTV 프로그램을 대표할 수 있는 '공공 소재 킬러콘텐츠' 기획
- 공공채널 정체성 강화를 위한 신규 프로그램 제작 기획 등

<온라인 콘텐츠>
- 청년층 소구를 위한 공공정책 관련 온라인 콘텐츠 기획
- 2025년 주요계기 및 시의성 적용 콘텐츠 기획 등

■ 지원 자격
<대한민국 국민 누구나 참여 가능!>
- 제작사 및 프리랜서 등 포함

■ 모집 기간
2024.10.21~2024.11.24.

■ 지원 방법
- 세부안내 : www.ktv.go.kr > KTV 소식 > 공지사항
- 접수방법 : project7@korea.kr

■ 유의 사항
<저작권 침해의 경우, 시상 취소 및 시상금 반환>
- 분야별 중복 응모 가능 / 개인 및 팀 구성하여 참여 가능
- 응모양식 필수 기재사항 준수 / 제출된 응모 서류는 반환하지 않음
- 기획안이 저작권 관련 분쟁 또는 허위사항 있는 경우 선정에 배제 또는 취소 될 수 있음

■ 시상내역
분야 : TV 프로그램 
대상 : 1편 1,000만 원 / 트로피 / 상장
최우수상 : 1편 200만 원 / 트로피
우수상 : 2편 100만 원 / 상장
장려상 : 3편 50만 원 / 상장
총상금 : 총 13편 2,100만 원
* 상금은 현금(세금 공제) 및 상품권으로 지급
- 채택된 기획안은 평가를 통해 ‘2025년 신규 프로그램’ 연계 제작 검토
- 응모편수, 심사결과에 따라 시상내역 조정 가능

■ 문의 사항
- KTV 기획편성부 이정수PD(044-204-8131)
- KTV 기획편성부 안혜경(044-204-8127)

",,https://www.allforyoung.com/posts/56522,2024년 KTV 방송 프로그램 아이디어 공모전,2024-10-29,2024-11-24,"['기획', '공모전', '상금', 'KTV', '아이디어']"
